Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
Hillingdon__Yeading,00ASHD,E05000344,14250,5981,1600,250000,33240,1.9
Hillingdon__Yiewsley,00ASHE,E05000345,13750,6051,7600,225000,32340,2.5
Hounslow__Bedfont,00ATFY,E05000346,12950,6105,9400,229000,31870,2.1
Hounslow__Brentford,00ATFZ,E05000347,15800,7043,11500,370000,35040,3.2
Hounslow__Chiswick_Homefields,00ATGA,E05000348,11650,6077,6800,772500,51830,3.6
Hounslow__Chiswick_Riverside,00ATGB,E05000349,11700,6201,2200,650000,49680,2.8
Hounslow__Cranford,00ATGC,E05000350,12750,5548,5600,226500,30860,2.4
Hounslow__Feltham_North,00ATGD,E05000351,11850,5500,8200,270000,32850,2.9
Hounslow__Feltham_West,00ATGE,E05000352,15800,7666,4900,225000,34010,2.4
Hounslow__Hanworth,00ATGF,E05000353,12400,5265,3500,250000,31150,2.6
Hounslow__Hanworth_Park,00ATGG,E05000354,12250,5614,8900,250000,34340,2.6
Hounslow__Heston_Central,00ATGH,E05000355,12600,5584,1400,348000,33580,2.9
Hounslow__Heston_East,00ATGJ,E05000356,12700,5745,3200,248000,34030,2.3
Hounslow__Heston_West,00ATGK,E05000357,12750,5161,5200,280000,29490,2.3
Hounslow__Hounslow_Central,00ATGL,E05000358,16200,7795,12000,249950,35830,5.1
Hounslow__Hounslow_Heath,00ATGM,E05000359,15250,6878,3200,249950,32530,3.2
Hounslow__Hounslow_South,00ATGN,E05000360,11700,5767,1100,375000,39920,2.5
Hounslow__Hounslow_West,00ATGP,E05000361,13750,6288,3500,270000,31890,3.9
Hounslow__Isleworth,00ATGQ,E05000362,12150,5827,4500,301000,34790,2.4
Hounslow__Osterley_and_Spring_Grove,00ATGR,E05000363,13350,6844,19500,345500,42140,2.8
Hounslow__Syon,00ATGS,E05000364,14200,7063,8300,365000,37040,3.6
Hounslow__Turnham_Green,00ATGT,E05000365,11800,6354,20500,634000,47080,4.4
Islington__Barnsbury,00AUFX,E05000366,12950,6292,6600,715000,44970,5.7
Islington__Bunhill,00AUFY,E05000367,16700,6889,68100,640000,39200,7.1
Islington__Caledonian,00AUFZ,E05000368,14950,6494,17000,447500,35840,5.3
Islington__Canonbury,00AUGA,E05000369,12500,6103,1600,550000,40590,6.5
Islington__Clerkenwell,00AUGB,E05000370,12350,5721,58100,732500,43350,6.9
Islington__Finsbury_Park,00AUGC,E05000371,15300,6862,7100,410000,33620,6.6
Islington__Highbury_East,00AUGD,E05000372,12150,6350,3300,667500,47810,4.7
Islington__Highbury_West,00AUGE,E05000373,16400,8745,5000,500000,43800,5.7
Islington__Hillrise,00AUGF,E05000374,12350,5560,1100,447500,39090,4.2
Islington__Holloway,00AUGG,E05000375,16050,7305,4500,405000,35430,5.9
Islington__Junction,00AUGH,E05000376,12950,6085,9600,452000,39470,6
Islington__Mildmay,00AUGJ,E05000377,13500,6556,1700,525000,39300,6.1
Islington__St._George's,00AUGK,E05000378,13100,6282,2300,495645,40860,4.5
Islington__St._Mary's,00AUGL,E05000379,12500,6476,12700,650000,46190,6.7
Islington__St._Peter's,00AUGM,E05000380,13200,6277,7300,667500,43870,5.3
Islington__Tollington,00AUGN,E05000381,13900,6770,2500,465000,38090,4.5
Kensington_and_Chelsea__Abingdon,00AWFY,E05000382,10700,4823,6900,1295000,54690,6.5
Kensington_and_Chelsea__Brompton,00AWFZ,E05000383,8900,4465,24800,1950000,64320,6.8
Kensington_and_Chelsea__Campden,00AWGA,E05000384,8250,4206,7700,1400000,65500,6.8
Kensington_and_Chelsea__Colville,00AWGB,E05000385,8400,4457,4200,935000,43560,5.4
Kensington_and_Chelsea__Courtfield,00AWGC,E05000386,9100,4535,4800,1325000,61810,6.9
Kensington_and_Chelsea__Cremorne,00AWGD,E05000387,8250,3470,3600,1050000,43920,4.7
Kensington_and_Chelsea__Earl's_Court,00AWGE,E05000388,9300,4973,5300,783250,44100,7
Kensington_and_Chelsea__Golborne,00AWGF,E05000389,9600,3768,5300,533800,30100,4.5
Kensington_and_Chelsea__Hans_Town,00AWGG,E05000390,8850,4424,8100,1587500,58100,6.6
Kensington_and_Chelsea__Holland,00AWGH,E05000391,9850,4586,3100,1375000,54770,6
Kensington_and_Chelsea__Norland,00AWGJ,E05000392,8750,3961,4600,1343000,53430,5.4
Kensington_and_Chelsea__Notting_Barns,00AWGK,E05000393,9750,4036,5300,776000,36690,4.2
Kensington_and_Chelsea__Pembridge,00AWGL,E05000394,7700,4288,3900,1127500,55710,7
Kensington_and_Chelsea__Queen's_Gate,00AWGM,E05000395,9950,4971,13300,1745000,63630,6
Kensington_and_Chelsea__Redcliffe,00AWGN,E05000396,9300,5131,2800,995000,54550,6.2
Kensington_and_Chelsea__Royal_Hospital,00AWGP,E05000397,7350,3539,5300,1995000,60600,5
Kensington_and_Chelsea__St._Charles,00AWGQ,E05000398,9600,4126,3000,642500,36100,3.8
Kensington_and_Chelsea__Stanley,00AWGR,E05000399,8250,4239,13500,1100000,54990,5.6
Kingston_upon_Thames__Alexandra,00AXFX,E05000400,9700,4464,2500,404975,41390,2.2
Kingston_upon_Thames__Berrylands,00AXFY,E05000401,9800,4813,2000,361125,42330,2.8
Kingston_upon_Thames__Beverley,00AXFZ,E05000402,10450,4807,4500,435000,40700,2.8
Kingston_upon_Thames__Canbury,00AXGA,E05000403,13300,6529,5200,449500,45600,4.1
Kingston_upon_Thames__Chessington_North_and_Hook,00AXGB,E05000404,9000,4334,2000,310000,37230,2.4
Kingston_upon_Thames__Chessington_South,00AXGC,E05000405,10550,5291,5300,315000,38310,2.4
Kingston_upon_Thames__Coombe_Hill,00AXGD,E05000406,10750,4458,7200,480000,45650,2.5
Kingston_upon_Thames__Coombe_Vale,00AXGE,E05000407,10050,4619,1900,480000,44320,2.3
Kingston_upon_Thames__Grove,00AXGF,E05000408,11800,5683,23000,400000,41410,4.2
Kingston_upon_Thames__Norbiton,00AXGG,E05000409,10600,4973,4000,341750,34650,3.6
Kingston_upon_Thames__Old_Malden,00AXGH,E05000410,9700,4501,1100,395725,41760,2.7
Kingston_upon_Thames__St._James,00AXGJ,E05000411,9250,4061,2000,443568,41850,2.6
Kingston_upon_Thames__St._Mark's,00AXGK,E05000412,10900,5872,4300,395350,44930,3.7
Kingston_upon_Thames__Surbiton_Hill,00AXGL,E05000413,10950,5705,2100,396770,43160,3.3
Kingston_upon_Thames__Tolworth_and_Hook_Rise,00AXGM,E05000414,10650,4993,5200,337195,37840,2.3
Kingston_upon_Thames__Tudor,00AXGN,E05000415,9850,4674,1900,550000,48530,2.3
Lambeth__Bishop's,00AYFZ,E05000416,11400,5119,43400,590000,40360,7.6
Lambeth__Brixton_Hill,00AYGA,E05000417,16650,9214,3900,420000,39050,4.9
Lambeth__Clapham_Common,00AYGB,E05000418,13600,8007,8200,620000,49520,4.1
Lambeth__Clapham_Town,00AYGC,E05000419,14850,8628,6200,610000,44960,5.1
Lambeth__Coldharbour,00AYGD,E05000420,17500,7874,5500,435000,32220,5.4
Lambeth__Ferndale,00AYGE,E05000421,16400,9406,4600,497475,39480,6.3
Lambeth__Gipsy_Hill,00AYGF,E05000422,13900,6633,2000,350000,36650,3.7
Lambeth__Herne_Hill,00AYGG,E05000423,15600,8459,12000,432500,41700,4.5
Lambeth__Knight's_Hill,00AYGH,E05000424,15200,6876,2700,355000,36950,4.1
Lambeth__Larkhall,00AYGJ,E05000425,18000,9777,4700,430000,37260,5.2
Lambeth__Oval,00AYGK,E05000426,16600,8847,12700,699995,39200,6.9
Lambeth__Prince's,00AYGL,E05000427,15400,7480,15600,495000,37600,6.3
Lambeth__St._Leonard's,00AYGM,E05000428,15200,8292,3700,340000,39880,5.9
Lambeth__Stockwell,00AYGN,E05000429,15250,7863,2800,391375,35050,5.4
Lambeth__Streatham_Hill,00AYGP,E05000430,15150,7798,1800,359000,39250,5.3
Lambeth__Streatham_South,00AYGQ,E05000431,14750,6900,1500,375000,36710,4.1
Lambeth__Streatham_Wells,00AYGR,E05000432,15250,8008,2700,345875,38270,4.4
Lambeth__Thornton,00AYGS,E05000433,14000,6647,1600,511250,41880,3.5
Lambeth__Thurlow_Park,00AYGT,E05000434,13800,7074,2300,412748,41600,5
Lambeth__Tulse_Hill,00AYGU,E05000435,16250,8054,1800,417000,35610,4.4
Lambeth__Vassall,00AYGW,E05000436,15600,7157,3400,395000,34830,4.4
Lewisham__Bellingham,00AZGD,E05000437,15300,6198,4700,265000,31340,3
Lewisham__Blackheath,00AZGE,E05000438,15000,7360,5600,385000,44870,4.9
Lewisham__Brockley,00AZGF,E05000439,18550,9571,5200,330000,38100,5.8
Lewisham__Catford_South,00AZGG,E05000440,15650,7172,3100,332500,39070,3.3
Lewisham__Crofton_Park,00AZGH,E05000441,15350,7876,2300,455000,42560,4.1
Lewisham__Downham,00AZGJ,E05000442,15000,5793,2200,242500,30880,3.3
Lewisham__Evelyn,00AZGK,E05000443,18550,7482,3200,315000,30560,3.1
Lewisham__Forest_Hill,00AZGL,E05000444,15300,7528,2700,340000,40960,4
Lewisham__Grove_Park,00AZGM,E05000445,15100,6764,1600,250000,36150,3.2
Lewisham__Ladywell,00AZGN,E05000446,15200,7447,1600,370000,40290,4.5
Lewisham__Lee_Green,00AZGP,E05000447,15050,7639,2600,402500,42760,3.6
Lewisham__Lewisham_Central,00AZGQ,E05000448,20250,8895,10900,290000,35760,5.2
Lewisham__New_Cross,00AZGR,E05000449,17650,7520,5500,242000,31520,4.4
Lewisham__Perry_Vale,00AZGS,E05000450,16050,7946,1400,355000,39130,3.4
Lewisham__Rushey_Green,00AZGT,E05000451,16650,6818,6400,270000,34670,5.2
Lewisham__Sydenham,00AZGU,E05000452,16150,7327,2700,350000,37060,4.1
Lewisham__Telegraph_Hill,00AZGW,E05000453,17250,8512,2300,360000,37230,5.2
Lewisham__Whitefoot,00AZGX,E05000454,15050,5802,1200,248000,32840,2.8
Merton__Abbey,00BAFX,E05000455,10600,6284,10800,482500,45370,5.1
Merton__Cannon_Hill,00BAFY,E05000456,9500,4665,1300,455000,42320,2.6
Merton__Colliers_Wood,00BAFZ,E05000457,11250,6385,3400,350000,38780,3.9
Merton__Cricket_Green,00BAGA,E05000458,11800,4967,5400,245000,29930,2.9
Merton__Dundonald,00BAGB,E05000459,9650,5683,5300,565000,49910,4.9
Merton__Figge's_Marsh,00BAGC,E05000460,11700,5036,1800,250000,30860,3.6
Merton__Graveney,00BAGD,E05000461,10100,4981,1600,388000,35580,3.4
Merton__Hillside,00BAGE,E05000462,9250,5194,8600,563750,51480,5.4
Merton__Lavender_Fields,00BAGF,E05000463,10650,5393,1600,280000,33360,2.7
Merton__Longthornton,00BAGG,E05000464,10500,4737,900,295000,34350,2.8
Merton__Lower_Morden,00BAGH,E05000465,9350,4660,2100,320000,38730,2.2
Merton__Merton_Park,00BAGJ,E05000466,9750,4702,4100,522500,46300,3.8
Merton__Pollards_Hill,00BAGK,E05000467,10800,4560,800,288000,31940,2.6
Merton__Ravensbury,00BAGL,E05000468,10250,4489,1800,285000,32330,2.9
Merton__Raynes_Park,00BAGM,E05000469,10000,5072,8300,499500,49340,3.8
Merton__St._Helier,00BAGN,E05000470,10650,4703,2000,280000,32530,3.1
Merton__Trinity,00BAGP,E05000471,10000,5925,6900,497000,47380,3.9
Merton__Village,00BAGQ,E05000472,8750,3730,5200,1530000,62200,2.4
Merton__West_Barnes,00BAGR,E05000473,10200,4990,4100,475000,44170,2.9
Merton__Wimbledon_Park,00BAGS,E05000474,11500,6198,5200,732500,50730,3.1
Newham__Beckton,00BBGB,E05000475,16700,6682,10700,233500,34100,2.8
Newham__Boleyn,00BBGC,E05000476,16350,6291,2900,250000,31630,4
Newham__Canning_Town_North,00BBGD,E05000477,16650,6103,7100,249000,28910,4.7
Newham__Canning_Town_South,00BBGE,E05000478,20350,7403,2700,280000,32870,3.6
Newham__Custom_House,00BBGF,E05000479,14850,5839,3300,250000,31840,3.2
Newham__East_Ham_Central,00BBGG,E05000480,16200,6503,3900,250000,32380,4.7
Newham__East_Ham_North,00BBGH,E05000481,14250,5482,2000,249995,32340,4.4
Newham__East_Ham_South,00BBGJ,E05000482,16250,5952,2600,240000,31430,2.6
Newham__Forest_Gate_North,00BBGK,E05000483,16550,7545,1600,313000,34270,3.2
Newham__Forest_Gate_South,00BBGL,E05000484,18150,7985,3400,263900,34550,3.9
Newham__Green_Street_East,00BBGM,E05000485,16250,6341,1800,260000,31570,3.7
Newham__Green_Street_West,00BBGN,E05000486,15500,5873,4100,250000,31080,4
Newham__Little_Ilford,00BBGP,E05000487,17100,5774,1600,230000,29730,2.7
Newham__Manor_Park,00BBGQ,E05000488,15600,5936,1900,249975,31580,4
Newham__Plaistow_North,00BBGR,E05000489,15800,6260,1700,250000,30740,4.4
Newham__Plaistow_South,00BBGS,E05000490,16800,6921,4900,250000,31750,4.4
Newham__Royal_Docks,00BBGT,E05000491,16550,5750,6100,303500,38580,2.8
Newham__Stratford_and_New_Town,00BBGU,E05000492,26700,9665,24800,280000,35840,5.8
Newham__Wall_End,00BBGW,E05000493,15150,5786,1300,250000,32330,3.7
Newham__West_Ham,00BBGX,E05000494,16150,7002,1800,273500,32310,4.7
Redbridge__Aldborough,00BCFY,E05000495,15800,6327,4300,315000,37310,2.7
Redbridge__Barkingside,00BCFZ,E05000496,13150,5513,2400,368750,39620,3.2
Redbridge__Bridge,00BCGA,E05000497,11850,5683,2100,340000,39320,2.5
Redbridge__Chadwell,00BCGB,E05000498,14850,6343,2500,250000,36700,2.4
Redbridge__Church_End,00BCGC,E05000499,11900,6381,4500,340000,45410,2.7
Redbridge__Clayhall,00BCGD,E05000500,13600,5723,3700,390000,41450,2.3
Redbridge__Clementswood,00BCGE,E05000501,16950,5459,8500,235000,30230,3.4
Redbridge__Cranbrook,00BCGF,E05000502,13300,5349,3200,367500,38290,3.8
Redbridge__Fairlop,00BCGG,E05000503,12900,5906,3000,310000,37560,2.8
Redbridge__Fullwell,00BCGH,E05000504,13150,5407,2000,339498,35690,2.4
Redbridge__Goodmayes,00BCGJ,E05000505,13400,5407,2300,307000,33820,3.7
Redbridge__Hainault,00BCGK,E05000506,13550,5304,3500,249999,31520,2.4
Redbridge__Loxford,00BCGL,E05000507,17700,5618,3200,193000,28500,3.4
Redbridge__Mayfield,00BCGM,E05000508,13950,5561,2100,305000,35630,2.7
Redbridge__Monkhams,00BCGN,E05000509,10650,4950,3100,499748,48780,2.6
Redbridge__Newbury,00BCGP,E05000510,17450,6931,3600,315000,35550,3.1
Redbridge__Roding,00BCGQ,E05000511,12550,5951,2100,302500,41040,2.5
Redbridge__Seven_Kings,00BCGR,E05000512,16950,6066,6800,294000,34480,3.1
Redbridge__Snaresbrook,00BCGS,E05000513,12100,6214,3300,361393,45160,3.6
Redbridge__Valentines,00BCGT,E05000514,15050,5758,4800,225000,34900,4.5
Redbridge__Wanstead,00BCGU,E05000515,11700,5688,1100,460000,46370,2.5
Richmond_upon_Thames__Barnes,00BDFW,E05000516,10500,4839,2700,1362500,55450,3.4
Richmond_upon_Thames__East_Sheen,00BDFX,E05000517,10500,5108,3500,985000,56090,2.6
Richmond_upon_Thames__Fulwell_and_Hampton_Hill,00BDFY,E05000518,10300,5350,4900,480000,48810,3.2
"Richmond_upon_Thames__Ham,_Petersham_&_Richmond_Riverside",00BDFZ,E05000519,10550,4857,2700,500000,44870,2.1
Richmond_upon_Thames__Hampton,00BDGA,E05000520,10250,4999,4100,599950,46750,2.7
Richmond_upon_Thames__Hampton_North,00BDGB,E05000521,9600,4482,2200,335000,39440,2.1
Richmond_upon_Thames__Hampton_Wick,00BDGC,E05000522,10550,4950,3300,455000,46760,2.7
Richmond_upon_Thames__Heathfield,00BDGD,E05000523,10600,4752,1300,380500,36950,2
Richmond_upon_Thames__Kew,00BDGE,E05000524,11650,5807,4300,630000,52130,2.9
Richmond_upon_Thames__Mortlake_and_Barnes_Common,00BDGF,E05000525,11100,5800,2600,746500,50100,3
Richmond_upon_Thames__North_Richmond,00BDGG,E05000526,11050,5695,4500,625625,50860,4.4
Richmond_upon_Thames__St._Margarets_&_North_Twickenham,00BDGH,E05000527,11800,6200,4000,600000,52870,3.1
Richmond_upon_Thames__South_Richmond,00BDGJ,E05000528,11100,5715,13200,655000,52690,4.2
Richmond_upon_Thames__South_Twickenham,00BDGK,E05000529,10100,5458,4300,555500,51380,3.5
Richmond_upon_Thames__Teddington,00BDGL,E05000530,10550,5564,8400,499950,50600,3.2
Richmond_upon_Thames__Twickenham_Riverside,00BDGM,E05000531,10650,5916,8400,458725,51350,4.5
Richmond_upon_Thames__West_Twickenham,00BDGN,E05000532,10750,5568,2100,450000,45040,2.7
Richmond_upon_Thames__Whitton,00BDGP,E05000533,10050,4802,1400,420000,42230,2.4
Southwark__Brunswick_Park,00BEGC,E05000534,13600,6446,6700,346500,36310,4.1
Southwark__Camberwell_Green,00BEGD,E05000535,15950,6937,5400,310000,31840,5.6
Southwark__Cathedrals,00BEGE,E05000536,17250,7697,65500,580000,40430,8
Southwark__Chaucer,00BEGF,E05000537,16200,8056,18000,442000,37780,7.2
Southwark__College,00BEGG,E05000538,11900,5705,1900,350000,42600,3.4
Southwark__East_Dulwich,00BEGH,E05000539,12400,7196,2700,572500,48670,4.1
Southwark__East_Walworth,00BEGJ,E05000540,13850,5291,4100,315000,31010,5.8
Southwark__Faraday,00BEGK,E05000541,13050,5581,1400,315000,30760,4.7
Southwark__Grange,00BEGL,E05000542,17600,8428,16800,500000,38500,5.1
Southwark__Livesey,00BEGM,E05000543,15000,5742,4000,289995,28880,4.3
Southwark__Newington,00BEGN,E05000544,15500,6957,6900,380000,34190,5.8
Southwark__Nunhead,00BEGP,E05000545,13850,6328,1200,356250,33540,4.8
Southwark__Peckham,00BEGQ,E05000546,15350,6258,1400,285000,30030,4.1
Southwark__Peckham_Rye,00BEGR,E05000547,13550,7263,1400,421000,42820,3.5
Southwark__Riverside,00BEGS,E05000548,16600,8745,46700,585000,43110,4.4
Southwark__Rotherhithe,00BEGT,E05000549,15050,7175,3400,421800,36970,5.3
Southwark__South_Bermondsey,00BEGU,E05000550,14400,6452,2300,288025,31150,3.7
Southwark__South_Camberwell,00BEGW,E05000551,13200,6543,3000,396089,41130,4.6
Southwark__Surrey_Docks,00BEGX,E05000552,15400,8567,2700,415000,45410,2.9
Southwark__The_Lane,00BEGY,E05000553,16450,7623,4900,407500,37940,6
Southwark__Village,00BEGZ,E05000554,12500,6258,3100,850000,58400,4.1
Sutton__Beddington_North,00BFGC,E05000555,10550,5250,9500,289000,39290,2.6
Sutton__Beddington_South,00BFGD,E05000556,10900,4718,2100,386000,35600,2
Sutton__Belmont,00BFGE,E05000557,10350,5042,4300,290000,44260,2.3
Sutton__Carshalton_Central,00BFGF,E05000558,10400,5302,2600,318000,42200,3.3
Sutton__Carshalton_South_and_Clockhouse,00BFGG,E05000559,10200,4741,1900,419995,44270,2.1
Sutton__Cheam,00BFGH,E05000560,10550,4749,3800,376000,46220,2.2
Sutton__Nonsuch,00BFGJ,E05000561,10900,5402,2500,388500,42640,2.3
Sutton__St._Helier,00BFGK,E05000562,12300,5418,4300,248000,31040,2.9
Sutton__Stonecot,00BFGL,E05000563,11000,5420,2900,347500,39210,2.5
Sutton__Sutton_Central,00BFGM,E05000564,11550,5793,16000,240000,35660,4.9
Sutton__Sutton_North,00BFGN,E05000565,10600,4959,1700,300500,38060,3.3
Sutton__Sutton_South,00BFGP,E05000566,10000,5073,3900,250000,40460,3.3
Sutton__Sutton_West,00BFGQ,E05000567,10900,5686,1900,270000,41610,3.5
Sutton__The_Wrythe,00BFGR,E05000568,10500,5289,1500,257500,36790,2.6
Sutton__Wallington_North,00BFGS,E05000569,10900,5531,2900,272000,38710,3.5
Sutton__Wallington_South,00BFGT,E05000570,10650,4886,3200,246000,37960,3.4
Sutton__Wandle_Valley,00BFGU,E05000571,12250,5601,2000,243500,32330,2.4
Sutton__Worcester_Park,00BFGW,E05000572,11950,6052,2700,338000,40610,2.4
Tower_Hamlets__Bethnal_Green_North,00BGFW,E05000573,14750,6580,4700,383000,36230,6
Tower_Hamlets__Bethnal_Green_South,00BGFX,E05000574,15150,5934,3600,357500,32860,6.8
Tower_Hamlets__Blackwall_and_Cubitt_Town,00BGFY,E05000575,23250,10684,25800,380000,43330,3.8
Tower_Hamlets__Bow_East,00BGFZ,E05000576,15650,7655,6200,325000,36800,3.6
Tower_Hamlets__Bow_West,00BGGA,E05000577,13650,6262,3000,415000,41000,5.2
Tower_Hamlets__BromleybyBow,00BGGB,E05000578,19750,5386,4100,302500,31980,4.2
Tower_Hamlets__East_India_and_Lansbury,00BGGC,E05000579,16550,5124,2700,293000,29680,3.5
Tower_Hamlets__Limehouse,00BGGD,E05000580,17100,7314,4000,375000,36260,5
Tower_Hamlets__Mile_End_and_Globe_Town,00BGGE,E05000581,16200,6271,7300,385000,34300,5.4
Tower_Hamlets__Mile_End_East,00BGGF,E05000582,15200,5276,3700,325000,32510,5.3
Tower_Hamlets__Millwall,00BGGG,E05000583,26350,13759,115700,420000,46940,3.4
Tower_Hamlets__St._Dunstan's_and_Stepney_Green,00BGGH,E05000584,17100,6098,3100,363250,32930,5.4
Tower_Hamlets__St._Katherine's_and_Wapping,00BGGJ,E05000585,13550,7619,15300,453000,50770,4.4
Tower_Hamlets__Shadwell,00BGGK,E05000586,15900,6534,3500,370000,36360,6
Tower_Hamlets__Spitalfields_and_Banglatown,00BGGL,E05000587,11800,5055,23700,499995,39910,6.9
Tower_Hamlets__Weavers,00BGGM,E05000588,15050,6693,4400,510000,37760,5.5
Tower_Hamlets__Whitechapel,00BGGN,E05000589,17300,7530,24300,489000,37600,6.8
Waltham_Forest__Cann_Hall,00BHFX,E05000590,14350,6265,1500,326000,32700,2.9
Waltham_Forest__Cathall,00BHFY,E05000591,13300,5715,1500,332500,30950,4.3
Waltham_Forest__Chapel_End,00BHFZ,E05000592,14600,6595,4100,340000,36440,2.9
Waltham_Forest__Chingford_Green,00BHGA,E05000593,10550,4570,3500,330000,39280,2.8
Waltham_Forest__Endlebury,00BHGB,E05000594,11150,4871,1300,310000,38580,2.4
Waltham_Forest__Forest,00BHGC,E05000595,13250,5861,10500,401000,36080,4.3
Waltham_Forest__Grove_Green,00BHGD,E05000596,15300,7587,1100,308000,36350,4.2
Waltham_Forest__Hale_End_and_Highams_Park,00BHGE,E05000597,12200,5319,6400,288748,39490,2.5
Waltham_Forest__Hatch_Lane,00BHGF,E05000598,11400,4914,1600,286500,36110,2.5
Waltham_Forest__High_Street,00BHGG,E05000599,14850,7146,3600,333000,34810,4.4
Waltham_Forest__Higham_Hill,00BHGH,E05000600,14200,5608,3300,325000,31270,2.6
Waltham_Forest__Hoe_Street,00BHGJ,E05000601,14600,6453,3100,360000,34890,5.2
Waltham_Forest__Larkswood,00BHGK,E05000602,12050,5104,2300,335000,35170,2.8
Waltham_Forest__Lea_Bridge,00BHGL,E05000603,16250,6671,6100,283250,31450,3.6
Waltham_Forest__Leyton,00BHGM,E05000604,14950,5956,5700,255000,31040,3.8
Waltham_Forest__Leytonstone,00BHGN,E05000605,13450,6887,3800,345000,38700,5.5
Waltham_Forest__Markhouse,00BHGP,E05000606,15250,6044,2200,324000,33780,4.2
Waltham_Forest__Valley,00BHGQ,E05000607,11850,5100,3300,285000,34250,2.4
Waltham_Forest__William_Morris,00BHGR,E05000608,13750,6291,2500,351625,35070,3.5
Waltham_Forest__Wood_Street,00BHGS,E05000609,14150,5974,2300,387500,35130,3.7
Wandsworth__Balham,00BJFZ,E05000610,15050,9369,4800,595000,53420,4.7
Wandsworth__Bedford,00BJGA,E05000611,15100,9077,1900,496500,46410,4.1
Wandsworth__Earlsfield,00BJGB,E05000612,16100,9556,5900,541000,44360,3.9
Wandsworth__East_Putney,00BJGC,E05000613,15850,9292,4100,534000,49010,4.1
Wandsworth__Fairfield,00BJGD,E05000614,15350,9882,8300,500000,48590,5.5
Wandsworth__Furzedown,00BJGE,E05000615,15850,7450,1600,410000,38240,3.2
Wandsworth__Graveney,00BJGF,E05000616,15700,8095,3600,440000,37960,5.2
Wandsworth__Latchmere,00BJGG,E05000617,15850,7869,2600,398500,34990,5.9
Wandsworth__Nightingale,00BJGH,E05000618,14950,8864,3600,595000,50790,5.4
Wandsworth__Northcote,00BJGJ,E05000619,15400,9397,6400,795000,55810,5.3
Wandsworth__Queenstown,00BJGK,E05000620,20150,9607,12200,630000,39580,4.4
Wandsworth__Roehampton,00BJGL,E05000621,17550,6856,4400,374950,30320,2.8
Wandsworth__St._Mary's_Park,00BJGM,E05000622,17250,9696,10400,530000,44720,3.9
Wandsworth__Shaftesbury,00BJGN,E05000623,14500,9354,4000,700000,50410,5.5
Wandsworth__Southfields,00BJGP,E05000624,16750,9716,5700,515250,48160,3.7
Wandsworth__Thamesfield,00BJGQ,E05000625,15400,9409,10900,700000,55380,4.5
Wandsworth__Tooting,00BJGR,E05000626,17350,8038,14100,440500,36000,5.1
Wandsworth__Wandsworth_Common,00BJGS,E05000627,16350,7925,3700,568000,51420,2.7
Wandsworth__West_Hill,00BJGT,E05000628,16850,8595,2400,395000,40360,2.8
Wandsworth__West_Putney,00BJGU,E05000629,15400,7376,1800,497800,43280,2.7
Westminster__Abbey_Road,00BKGA,E05000630,11500,5233,3800,750000,52200,5.4
Westminster__Bayswater,00BKGB,E05000631,10500,5977,4300,850000,49960,6.5
Westminster__Bryanston_and_Dorset_Square,00BKGC,E05000632,12650,6295,29300,975000,51370,8
Westminster__Churchill,00BKGD,E05000633,10550,4085,3500,1100000,39530,4.9
Westminster__Church_Street,00BKGE,E05000634,12000,3744,4700,440000,26290,6.7
Westminster__Harrow_Road,00BKGF,E05000635,12350,5533,2200,499950,35000,5.7
Westminster__Hyde_Park,00BKGG,E05000636,13450,6014,30000,850000,46880,8
Westminster__Knightsbridge_and_Belgravia,00BKGH,E05000637,10050,3947,34300,3500000,88330,6.6
Westminster__Lancaster_Gate,00BKGJ,E05000638,13800,7523,7900,895000,49290,7.7
Westminster__Little_Venice,00BKGK,E05000639,11050,5384,2900,870000,48770,5.6
Westminster__Maida_Vale,00BKGL,E05000640,10550,5243,1800,773000,45660,5.2
Westminster__Marylebone_High_Street,00BKGM,E05000641,11150,5902,67900,1090000,58370,7.7
Westminster__Queen's_Park,00BKGN,E05000642,13050,5088,1900,545000,32260,5
Westminster__Regent's_Park,00BKGP,E05000643,12500,5153,9100,942500,46510,5.2
Westminster__St._James's,00BKGQ,E05000644,12050,5879,214300,1262500,52520,7.6
Westminster__Tachbrook,00BKGR,E05000645,8500,4531,2600,715650,47340,6.6
Westminster__Vincent_Square,00BKGS,E05000646,10500,5023,26700,840000,46550,6.9
Westminster__Warwick,00BKGT,E05000647,9800,5388,24200,857250,50250,7.2
Westminster__Westbourne,00BKGU,E05000648,13200,5173,3800,499975,32390,4.9
Westminster__West_End,00BKGW,E05000649,11250,6124,217900,1487500,54970,8
City_of_London,00AA,E09000001,8100,4555,392400,765000,63620,7.9
Barking_and_Dagenham,00AB,E09000002,205450,74001,50000,215000,34080,3
Barnet,00AC,E09000003,393200,164302,124300,400000,54530,3
Bexley,00AD,E09000004,237000,107274,69400,250000,44430,2.6
Brent,00AE,E09000005,326350,144030,111600,385000,39630,3.7
Bromley,00AF,E09000006,320100,146448,105000,335000,55140,2.8
Camden,00AG,E09000007,230300,105123,327600,675000,67990,5.7
Croydon,00AH,E09000008,381150,168680,113100,265000,45120,3.2
Ealing,00AJ,E09000009,349350,161259,124400,388000,45690,3.3
